,geo_level,region,state,year,week,age,flu_deaths,pneu_deaths,pneu_flu_deaths,all_deaths
275,State,,Nevada,2018,30,All,,,15.0,459.0
276,State,,District of Columbia,2018,40,All,,,6.0,83.0
277,State,,Texas,2018,4,All,,,552.0,4631.0
278,State,,New York City,2018,27,All,,,85.0,1039.0
279,State,,Rhode Island,2018,34,All,,,12.0,193.0
280,Region,8,,2018,11,All,20.0,136.0,156.0,1717.0
281,State,,South Carolina,2018,28,All,,,44.0,909.0
282,State,,New Hampshire,2018,49,All,,,12.0,244.0
283,State,,District of Columbia,2018,31,All,,,6.0,102.0
284,State,,Washington,2018,23,All,,,53.0,1058.0
285,State,,Nevada,2018,36,All,,,27.0,418.0
286,Region,8,,2018,8,All,24.0,125.0,149.0,1728.0
287,State,,New York City,2018,31,All,,,80.0,918.0
288,State,,Maryland,2018,35,All,,,53.0,908.0
289,State,,North Carolina,2018,7,All,,,233.0,2026.0
290,State,,Utah,2017,27,All,,,14.0,322.0
291,State,,Virginia,2018,21,All,,,58.0,1194.0
292,State,,Massachusetts,2018,5,All,,,146.0,1259.0
293,State,,Colorado,2018,39,All,,,30.0,678.0
294,State,,Massachusetts,2018,33,All,,,62.0,1027.0
295,State,,Ohio,2018,21,All,,,125.0,2189.0
296,Region,2,,2017,6,All,27.0,388.0,415.0,4900.0
297,National,,,2016,35,All,5.0,2869.0,2874.0,49579.0
298,State,,Texas,2018,27,All,,,204.0,3421.0
299,State,,District of Columbia,2018,36,All,,,4.0,96.0
300,State,,New Mexico,2018,16,All,,,24.0,345.0
301,State,,Alaska,2018,25,All,,,4.0,74.0
302,State,,Massachusetts,2018,24,All,,,55.0,1072.0
303,State,,Oregon,2018,40,All,,,19.0,675.0
304,Region,8,,2018,6,All,38.0,128.0,166.0,1773.0
305,State,,Colorado,2018,9,All,,,49.0,736.0
306,State,,Oklahoma,2018,26,All,,,57.0,714.0
307,State,,Maryland,2018,18,All,,,56.0,919.0
308,State,,Colorado,2018,24,All,,,41.0,694.0
309,National,,,2017,6,All,419.0,4447.0,4866.0,59038.0
310,State,,Wyoming,2018,25,All,,,7.0,77.0
311,State,,Colorado,2018,42,All,,,37.0,711.0
312,State,,West Virginia,2018,35,All,,,32.0,432.0
313,State,,Alaska,2018,22,All,,,4.0,69.0
314,State,,Kansas,2018,21,All,,,25.0,487.0
315,State,,Nebraska,2018,40,All,,,21.0,308.0
316,State,,Washington,2018,9,All,,,91.0,1227.0
317,Region,10,,2018,31,All,0.0,71.0,71.0,2006.0
318,State,,Rhode Island,2018,40,All,,,5.0,191.0
319,State,,North Carolina,2018,37,All,,,82.0,1652.0
320,State,,Virginia,2018,32,All,,,54.0,1269.0
321,State,,Wyoming,2018,23,All,,,6.0,91.0
322,State,,Utah,2018,45,All,,,23.0,331.0
323,Region,10,,2018,21,All,3.0,96.0,99.0,1945.0
324,National,,,2016,35,65 years and older,1.0,2304.0,2305.0,35816.0
325,State,,South Carolina,2018,38,All,,,58.0,930.0
326,Region,3,,2018,19,All,9.0,272.0,281.0,5223.0
327,State,,Louisiana,2018,15,All,,,26.0,833.0
328,National,,,2016,35,18-64 years,4.0,553.0,557.0,13101.0
329,State,,Massachusetts,2018,17,All,,,107.0,1105.0
330,Region,10,,2018,9,All,37.0,131.0,168.0,2316.0
331,State,,Rhode Island,2018,39,All,,,11.0,193.0
332,State,,Pennsylvania,2018,15,All,,,158.0,2675.0
333,State,,Maine,2018,33,All,,,20.0,259.0
334,State,,West Virginia,2018,2,All,,,75.0,582.0
335,National,,,2016,35,0-17 years,0.0,12.0,12.0,659.0
336,State,,Nevada,2018,25,All,,,33.0,480.0
337,State,,Nebraska,2018,19,All,,,26.0,309.0
338,State,,Nevada,2018,32,All,,,30.0,437.0
339,State,,North Dakota,2018,40,All,,,9.0,113.0
340,State,,Connecticut,2018,27,All,,,34.0,600.0
341,State,,Kansas,2018,23,All,,,36.0,519.0
342,State,,North Dakota,2018,35,All,,,7.0,94.0
343,State,,South Carolina,2018,35,All,,,45.0,924.0
344,State,,Nevada,2018,43,All,,,26.0,441.0
345,State,,Illinois,2018,33,All,,,100.0,1882.0
346,State,,Maryland,2018,19,All,,,44.0,924.0
347,State,,Oregon,2015,26,All,,,30.0,630.0
348,State,,West Virginia,2010,39,All,,,24.0,400.0
